run,round,alpha,num_clients,accuracy,f1,auc,time
fedavg_alpha1.0_c10,26,1.0,10,0.887595537856795,0.8185019212484322,0.5954398377811849,4.115128755569458
fedavg_alpha1.0_c10,27,1.0,10,0.8435176542323216,0.7541881635750174,0.5939200163817258,4.822404146194458
fedavg_alpha1.0_c10,28,1.0,10,0.8645886665129016,0.7925036357243342,0.5921567914131309,3.9173200130462646
fedavg_alpha1.0_c10,29,1.0,10,0.8499716413244478,0.7705678238783735,0.5943485215788832,4.526140928268433
fedavg_alpha1.0_c10,30,1.0,10,0.8689497253793028,0.8085003615232722,0.5933203048250177,3.922272205352783
fedavg_alpha1.0_c10,31,1.0,10,0.8578218228735124,0.7713680640826991,0.592682673981173,4.377745151519775
fedavg_alpha1.0_c10,32,1.0,10,0.8358807775870151,0.720264031474105,0.5928358634080028,4.209913015365601
fedavg_alpha1.0_c10,33,1.0,10,0.810571084832342,0.7182176829981081,0.5931024764054833,4.128664970397949
fedavg_alpha1.0_c10,34,1.0,10,0.827071798920269,0.7420834547276487,0.5917884855289344,3.9351580142974854
fedavg_alpha1.0_c10,35,1.0,10,0.823590342034455,0.7215168736593358,0.5938968761025186,4.167594909667969
fedavg_alpha1.0_c10,36,1.0,10,0.8402285786792829,0.7421854263060041,0.5926692455897149,3.9237618446350098
fedavg_alpha1.0_c10,37,1.0,10,0.8176251608974845,0.6892291405531378,0.5933381517546763,4.608942031860352
fedavg_alpha1.0_c10,38,1.0,10,0.8489008983113611,0.7585013607008035,0.5928318286896266,3.7036118507385254
fedavg_alpha1.0_c10,39,1.0,10,0.8191467188164268,0.6947111453907191,0.5916211134051681,4.256665945053101
fedavg_alpha1.0_c10,40,1.0,10,0.8503324147164083,0.709816041742849,0.5923415853556375,4.249336004257202
fedavg_alpha1.0_c10,41,1.0,10,0.8833842372122049,0.8213644992523784,0.5944369884457322,3.751204013824463
fedavg_alpha1.0_c10,42,1.0,10,0.8360655425474338,0.7699222841253539,0.5889073865708447,4.168471097946167
fedavg_alpha1.0_c10,43,1.0,10,0.850712731990398,0.7709979122184797,0.5911408228328627,4.444838762283325
fedavg_alpha1.0_c10,44,1.0,10,0.8603280221871771,0.7957056687232816,0.592138552711787,4.616643190383911
fedavg_alpha1.0_c10,45,1.0,10,0.8276441901307993,0.698194166102202,0.5912279125439831,3.9308831691741943
fedavg_alpha1.0_c10,46,1.0,10,0.8513068099718,0.7891283951091775,0.591673139287049,4.413259983062744
fedavg_alpha1.0_c10,47,1.0,10,0.7061470684489487,0.65867767114898,0.5867592359176386,3.803050994873047
fedavg_alpha1.0_c10,48,1.0,10,0.8282109283759184,0.7688968768582041,0.5920923513908168,4.252762079238892
fedavg_alpha1.0_c10,49,1.0,10,0.8575729201463608,0.7652847318525453,0.592402833247527,4.421295166015625
fedavg_alpha1.0_c10,50,1.0,10,0.8443775950425851,0.7587691488849009,0.5936588258165825,4.213771104812622
