run,algo,round,alpha,num_clients,seed,accuracy,f1,auc,time
fedavg_alpha10.0_c5_seed42,fedavg,19,10.0,5,42,0.9328882658892823,0.9323560309912329,0.9950151984957627,2.911581039428711
fedavg_alpha10.0_c5_seed42,fedavg,20,10.0,5,42,0.9510702214875295,0.9515467375892962,0.9929535251470281,3.047600746154785
fedavg_alpha10.0_c5_seed42,fedavg,21,10.0,5,42,0.9385956409884099,0.9402958632795565,0.9948188704160381,2.994389057159424
fedavg_alpha10.0_c5_seed42,fedavg,22,10.0,5,42,0.9304487570413228,0.9309431014284243,0.9951653980392481,3.0871129035949707
fedavg_alpha10.0_c5_seed42,fedavg,23,10.0,5,42,0.9439941807865434,0.945046991500635,0.9957322816452342,2.867884874343872
fedavg_alpha10.0_c5_seed42,fedavg,24,10.0,5,42,0.9490967448891073,0.9515827668489865,0.9949236209994392,2.8514671325683594
fedavg_alpha10.0_c5_seed42,fedavg,25,10.0,5,42,0.9010140025987274,0.8995099219065935,0.9891775806384357,2.862276077270508
fedavg_alpha10.0_c5_seed42,fedavg,26,10.0,5,42,0.9488695870704,0.9496679001711567,0.9960933174473341,2.846473217010498
fedavg_alpha10.0_c5_seed42,fedavg,27,10.0,5,42,0.9416547676223879,0.9410688631006986,0.9931649798732007,2.8888750076293945
fedavg_alpha10.0_c5_seed42,fedavg,28,10.0,5,42,0.9465335247009414,0.945596492552812,0.995687102572108,2.977156162261963
fedavg_alpha10.0_c5_seed42,fedavg,29,10.0,5,42,0.9340360322123062,0.9334137529184746,0.9933233467542235,2.947984218597412
fedavg_alpha10.0_c5_seed42,fedavg,30,10.0,5,42,0.944345310562822,0.9431202903488737,0.9918492020914698,2.8478128910064697
fedavg_alpha10.0_c5_seed42,fedavg,31,10.0,5,42,0.9444186222276828,0.9459144810810113,0.9927160349799079,2.920691967010498
fedavg_alpha10.0_c5_seed42,fedavg,32,10.0,5,42,0.9478554020395171,0.94673105757154,0.9958079356197158,2.856783151626587
fedavg_alpha10.0_c5_seed42,fedavg,33,10.0,5,42,0.9499640459729034,0.9495593442278262,0.9974059972560976,2.8356752395629883
fedavg_alpha10.0_c5_seed42,fedavg,34,10.0,5,42,0.9411003563011695,0.9411842444065046,0.9960567117994085,2.750901937484741
fedavg_alpha10.0_c5_seed42,fedavg,35,10.0,5,42,0.9431118122959272,0.9444471779627188,0.9966422785484681,3.0205397605895996
fedavg_alpha10.0_c5_seed42,fedavg,36,10.0,5,42,0.924221859839981,0.9247244444749025,0.9943554879238548,2.9185850620269775
fedavg_alpha10.0_c5_seed42,fedavg,37,10.0,5,42,0.9305992524004723,0.9279957540894873,0.9954707209237865,2.8813600540161133
fedavg_alpha10.0_c5_seed42,fedavg,38,10.0,5,42,0.8994384440398668,0.8933347198348256,0.9952649032540526,2.8389430046081543
fedavg_alpha10.0_c5_seed42,fedavg,39,10.0,5,42,0.9354982743407312,0.9337083455567992,0.9964865034746492,2.961132049560547
fedavg_alpha10.0_c5_seed42,fedavg,40,10.0,5,42,0.9399289743217435,0.938626259819976,0.9948712536004187,2.9788899421691895
fedavg_alpha10.0_c5_seed42,fedavg,41,10.0,5,42,0.9480261622603716,0.9474488285467639,0.9944878570655039,2.9414279460906982
fedavg_alpha10.0_c5_seed42,fedavg,42,10.0,5,42,0.9140396436243685,0.9067414939425289,0.993102756649255,2.873779058456421
fedavg_alpha10.0_c5_seed42,fedavg,43,10.0,5,42,0.9341950758210379,0.9331640079183557,0.9956017316388477,2.903634786605835
fedavg_alpha10.0_c5_seed42,fedavg,44,10.0,5,42,0.9504150108156206,0.9510420924774869,0.996812462169973,2.8692781925201416
fedavg_alpha10.0_c5_seed42,fedavg,45,10.0,5,42,0.9308264102191792,0.9320405977622611,0.9943754601963262,2.9285271167755127
fedavg_alpha10.0_c5_seed42,fedavg,46,10.0,5,42,0.9314231160156816,0.9290766569580189,0.9944983518430808,3.081037759780884
fedavg_alpha10.0_c5_seed42,fedavg,47,10.0,5,42,0.9473709515884629,0.9465159207733771,0.9962650268846742,2.9062299728393555
fedavg_alpha10.0_c5_seed42,fedavg,48,10.0,5,42,0.958780947381354,0.9587993888842069,0.9961581326723232,2.748138904571533
fedavg_alpha10.0_c5_seed42,fedavg,49,10.0,5,42,0.9223365016958743,0.9149473865289419,0.9941115147292919,3.0107409954071045
fedavg_alpha10.0_c5_seed42,fedavg,50,10.0,5,42,0.9309501215593855,0.9279583179201341,0.9950503882988901,2.726797103881836
